date,fact
12-06-2011,"Scientists publish the discovery of what may be the oldest artwork in the Americas: an engraving of a Ice Age mammoth on a fossil bone likely at least 13,000 years old. The bone, found in Florida, likely came from a mammoth, mastodon or giant sloth."
13-06-1944,"Nazi Germany launches the V-1 Flying Bomb, marking the first use of a cruise missile in warfare. Dubbed ""buzz bombs,"" these pilotless terrors droned ominously over London, delivering destruction and dread in equal measure."
14-06-1900,"The Hawaii Organic Act takes effect, establishing US governance for the islands—further formalizing control after Americans illegally overthrew the Hawaiian Kingdom in 1893 and annexed the territory in 1898."
15-06-1667,"French physician Jean-Baptiste Denis performs the first blood transfusion on a feverish boy—using lamb's blood. The boy recovers, but two other patients die from the procedure, leading to centuries-long bans on transfusions."
16-06-1904,"James Joyce's first date with his wife, immortalized in his novel ""Ulysses,"" sparked literary history—and the annual Irish holiday “Bloomsday.” Fans in Edwardian duds, sipping Guinness, trace the couple's path through Dublin."
17-06-1631,"Mumtaz Mahal, beloved wife of Mughal Emperor Shah Jahan, dies during childbirth. Her passing inspired the creation of the Taj Mahal, a breathtaking monument of eternal love that still awes the world centuries later."
18-06-1178,"After sunset, five terrified monks in Canterbury, England, witness an explosion on the surface of the moon: ""A flaming torch sprang up, spewing out...fire, hot coals and sparks,"" wrote the abbey's chronicler. ""The Moon throbbed like a wounded snake."""
19-06-2019,"Joy Harjo, renowned for evocative poetry that weaves Indigenous culture and personal narrative, is appointed America's first Native American poet laureate, a historic moment celebrating her powerful voice and rich storytelling."
20-06-1893,"After a sensationaized trial, a New Bedford, Massachusetts, jury acquits Lizzie Borden of murdering her father and stepmother with a hatchet. The house where the killings took place lives on as a spooky bed and breakfast."
21-06-1913,"Just 4 feet tall and 80 pounds, pioneering aviatrix Tiny Broadwick becomes the first woman to parachute from a plane. On the way up, she was suspended from a trap seat outside the cockpit, with her parachute on a shelf above her."
22-06-1953,"After a Brooklyn newsboy receives an unusual nickel in payment, he drops it on the ground only to find it hollowed out, with a tiny photo of coded numbers inside. The discovery led the FBI to a Soviet spy named Rudolf Abel."
23-06-1868,"Christopher Latham Sholes patents the QWERTY typewriter, revolutionizing communication. His first version was cobbled together using an old table, a circular piece of glass, a telegraph key and piano wire."
24-06-1374,"A ""dancing plague"" sweeps over Germany, with medieval villagers writhing and whirling uncontrollably in a frenzied display that left many collapsed in the streets. The cause of this mass hysteria remains a mystery."
25-06-1947,"Anne Frank’s diary is first published, recounting her life in hiding during the Holocaust. Her father said the book revealed a side of his daughter he never knew: “I had had no idea of the depth of her thoughts and feelings."""
26-06-1997,"""Harry Potter and the Philosopher’s Stone"" hits shelves in the U.K., bringing to life a bespectacled, orphaned wizard whose name, the author reports, was almost Harry Batt. The global blockbuster was rejected by 12 publishers."
27-06-1970,"Chicago hosts the first-ever Pride parade, commemorating the one-year anniversary of the Stonewall uprising. The open celebration of LGBTQ+ rights marked a welcome change for a community long forced into the shadows."
28-06-1894,"President Grover Cleveland signs a bill establishing Labor Day as a national holiday, aiming to honor the hard-fought rights of US workers—and appease labor unions in the wake of the violent Pullman Strike."
29-06-2007,"Apple releases the first iPhone, revolutionizing the mobile phone industry and transforming human communication with its sleek design and pioneering touch interface that allowed users to pinch, zoom and swipe."
30-06-1908,"A fiery explosion rocks Siberia’s Tunguska region, flattening 800 square miles of forest. Believed to be caused by an asteroid or comet, it remains Earth’s biggest cosmic collision in recorded history."
01-07-1904,"The 1904 Olympic games, the first ever held in the US, open in St. Louis. They will also be the first Olympics to award gold, silver and bronze medals."
02-07-1992,"The one-millionth Chevrolet Corvette rolls off the assembly line in Bowling Green, Kentucky. Swallowed by a sinkhole there in 2014, the sports car has since been restored to its former glory."
03-07-1952,"The ocean liner S.S. United States leaves New York on its maiden voyage to Le Havre, France, breaking the speed record for an eastbound Atlantic crossing. On its return trip it breaks the westbound record."
04-07-1966,"The Lovin' Spoonful release their hit record ""Summer in the City."" For authenticity it incorporates the sounds of honking cars and a jackhammer."
05-07-1937,"Minnesota-based Hormel introduces a canned luncheon meat it calls Spam (for spiced ham), spawning annual festivals like Spam Jam and Spamarama, where popular events include Spam sculpture carving (think Spam dragons, Spam Elvis and Spam Yoda)."
06-07-1921,"Sargeant Stubby, a bull terrier mutt, receives a gold medal from America's WWI commanding general John Pershing for “heroism of highest caliber” in 17 battles. Among his heroic deeds: catching a German spy by biting his legs."
07-07-1456,"Joan of Arc's conviction for heresy is overturned at an appeal proceeding held at the archbishop's palace in Rouen, France. Unfortunately, she had been burned at the stake 25 years earlier."
08-07-1905,"The shockingly well-preserved body of Revolutionary War naval hero John Paul Jones, discovered after 113 years in a French graveyard, begins its final transatlantic journey. It is interred at the US Naval Academy in Maryland."
09-07-1948,"Satchel Paige, longtime Negro League star, makes his Major League debut with the Cleveland Indians, the oldest rookie in history. “Age is a question of mind over matter,” he says. “If you don’t mind, it don’t matter.”"
10-07-1553,"Lady Jane Grey begins her nine-day reign as Queen of England, the shortest stint for a British monarch in history. Her Catholic cousin Mary deposed her, tried her for treason and, after initially letting her live, had her beheaded."
11-07-1972,"Honda introduces its first Civic, a new breed of subcompact, fuel-saving car. It arrives just in time for the energy crisis of 1973, which brings higher gas prices, long lines and occasional fistfights at the pump."
12-07-1543,"After having his fifth wife beheaded, England's King Henry VIII marries Katherine (or Catherine) Parr, his sixth and final wife. She survives him in 1547, head still attached, and remarries later that year."
13-07-1977,"Lightning strikes cause a power blackout in much of New York City, leading to a night of widespread looting, vandalism and arson—and nearly 4,000 arrests. It becomes known as ""The Night of Terror."""
14-07-1953,The George Washington Carver National Monument is dedicated in Missouri. It becomes the first such site to honor a Black American.
15-07-2012,"Korean rapper Psy’s campy performance of his hit song ""Gangam Style,"" featuring his ""invisible horse"" dance, debuts on YouTube. By December it becomes the first music video to top 1 billion views."
16-07-1941,"New York Yankee slugger Joe DiMaggio extends his hitting streak to 56 games, a Major League record that still stands. The next day he goes 0 for 4."
17-07-2024,"A 27-foot-long stegosaurus skeleton, dubbed Apex, sells for $44.6 million at Sotheby’s, setting a new record for a fossil. It was discovered by a paleontologist in 2022 at, of all places, Dinosaur, Colorado."
18-07-1921,The trial of eight Chicago White Sox players accused of accepting bribes to deliberately lose the 1919 World Series opens in Chicago. All eight are eventually acquitted but banned from baseball for life nonetheless.
19-07-1952,"Air traffic controllers in Washington, D.C., detect UFOs over the White House and US Capitol building. More appear a week later, but the government dismisses the sightings as a harmless weather phenomenon."
20-07-1923,"Mexican revolutionary Pancho Villa dies in a hail of 40 bullets while driving through Parral, Mexico. He's buried the next day, but his grave will be dug up and his head stolen three years later."
21-07-1972,"Comedian George Carlin is arrested for his infamous ""seven dirty words"" routine. Charges were dropped, but a later complaint about a broadcast of his act would propel the issue of indecent speech to the Supreme Court."
22-07-1944,"Advancing Soviet forces reach the Nazi concentration camp Majdanek, in Lublin, Poland. It is the first major camp to be liberated, six months before the larger and more infamous Auschwitz."
23-07-2021,"The Cleveland Indians announce that the team will change its name to the Cleveland Guardians at the end of the season, out of respect for Native Americans. It had retired its grinning ""Chief Wahoo"" logo in 2018."
24-07-1933,"Keystone Camp, a girls’ camp in Brevard, North Carolina, begins its first ""Christmas in July"" celebration. The tradition will spread throughout the US, although sometimes observed on different days."
25-07-1953,"New York City's subway fare jumps from 10 to 15 cents. At the same time, the city transit authority issues its first tokens to keep patrons from having to fish out three nickels. The tokens will be in use for 50 years before being replaced by the Metrocard."
26-07-1972,"Singer Johnny Cash meets with President Richard Nixon to lobby for prison reform. Cash, who often performed for prison inmates, was never one himself, although he did spend a few nights in jail for minor offenses."
27-07-1921,Surgeon Frederick Banting and medical student Charles Best successfully isolate the hormone insulin in experiments at the University of Toronto. Their breakthrough will save the lives of millions of people with diabetes.
28-07-1996,"Two men at a Washington state park stumble on a skull, part of a skeleton later found to be over 9,000 years old—one of the oldest in N. America. “Kennewick Man” is reburied 21 years later, in Native American rites."
29-07-1954,"""The Fellowship of the Ring,"" first volume of J.R.R. Tolkien’s Lord of the Rings trilogy, is published. Although the book is a huge success, nearly 50 years will pass before a movie version is released."
30-07-2004,"The cult-classic stoner comedy ""Harold & Kumar Go to White Castle"" is released. The Columbus, Ohio-based hamburger chain reportedly sees sales rise 30 percent the following week."
31-07-1946,"Marilyn Monroe, then known as Norma Jean Dougherty, signs her first movie contract, with Twentieth-Century Fox. She will be paid $150 a week."
01-08-1834,"Great Britain’s Slavery Abolition Act of 1833 goes into effect in most British colonies. The act makes Canada a safe haven for fugitive enslaved people from the US, where slavery remains in effect."
02-08-1939,"Albert Einstein writes to President Franklin Roosevelt, suggesting uranium could be used to create “extremely powerful bombs of a new type.” Years later, he will call the letter the “one great mistake” of his life."
03-08-1936,"Track-and-field star Jesse Owens, one of 18 Black athletes on the US team at the Berlin Olympics, wins his first of four gold medals—the most of any American at the Games. Back home, only white Olympians were invited to the White House."
04-08-1901,"Jazz legend Louis Armstrong is born in New Orleans, according to recent biographers. This would have been news to Armstrong, who always believed his birthday was July 4, 1900."
05-08-1951,"Canadian daredevil Red Hill, Jr., age 38, attempts to go over Niagara Falls in a barrel made of 13 rubber innertubes, canvas webbing and fish netting that he calls “the Thing.” His body is recovered the next morning."
06-08-1975,"The New York Times publishes a front-page obituary for Agatha Christie sleuth Hercule Poirot—an honor rarely, if ever, accorded a fictional character. Christie had announced plans to kill him off in her next book."
07-08-1909,"Adventurous 22-year-old homemaker Alice Ramsey and three friends complete the first all-female cross-country road trip. With roads rugged and signage virtually nil, they took 59 days to drive from New York to San Francisco."
08-08-1929,"Germany’s Graf Zeppelin, a 776-foot-long dirigible, lifts off from Lakehurst, N.J., on its first round-the-world flight. It returns to Lakehurst three weeks later, having set a record for global circumnavigation."
09-08-1973,"NASA requests that Skylab astronauts share a housefly-sized piece of their filet mignon with two spiders on their mission named Anita and Arabella, so the arachnids can keep up work on their experiment spinning webs in zero-G."
10-08-1927,"President Calvin Coolidge arrives, cowboy-hatted and on horseback, to dedicate Mount Rushmore in South Dakota, two months before carving begins. He presents sculptor Gutzon Borglum with a set of steel drill bits."
11-08-1942,Movie actress Hedy Lamarr and avant-garde music composer George Antheil receive a patent for a radio-controlled torpedo guidance system. Their breakthrough will play a key role in today’s wireless technology.
12-08-1994,"Major League baseball players go on a strike that lasts for 232 days. The 1994 World Series had to be canceled, the first time that happened in 90 years."
13-08-1941,"Henry Ford shows off his so-called Soybean Car, whose plastic body is partially made from the protein-rich legumes. While it weighs half as much as a steel-bodied car and Ford says it’s safer, it never goes into production."
14-08-1975,"""The Rocky Horror Picture Show"" premieres in London. Midnight showings—complete with spirited audience talkback and prop throwing—become an enduring tradition, making it the longest theatrical release in film history."
15-08-1995,"An Air France Concorde leaves NYC. Flying nearly 2x the speed of sound, it sets the record for a round-the-world passenger flight: 31 hours, 27 minutes, 49 seconds. One champagne-swilling passenger dubs it “a supersonic party bus.”"
16-08-1942,"A Navy blimp flying over San Francisco Bay to hunt for Japanese submarines, crash lands on a street in nearby Daly City. Rescuers race to the scene but find a ghost ship, with both pilots vanished—still an enduring mystery."
17-08-1977,"The day of Elvis Presley's funeral, FTD delivers more than 3,100 floral arrangements, wiping out Memphis-area florists and setting a record for the most flowers sold in the US in a single day."
18-08-1956,"Horror movie icon Bela Lugosi, who died two days earlier, is buried in Holy Cross Cemetery in Culver Cuty, California. He is wearing his Dracula costume, complete with a replica cape, just in case…"
19-08-1960,"Russia launches Sputnik 5, the first spacecraft to carry animals into space and bring them back alive. Passengers include two dogs, a gray rabbit, 40 mice, two rats and 15 flasks of fruit flies."
20-08-2000,"The peregrine falcon, world’s fastest bird at up to 200 m.p.h., is removed from the US’s endangered species list after 31 years. The banning of the pesticide DDT is largely credited for the bird’s resurgence."
21-08-2016,"Greenville, S.C., police investigate reports of creepy clowns hanging around a local apartment complex, trying to lure kids into the woods. The story gains worldwide attention and sets off a “killer clown panic” across the US"
22-08-1962,"The N.S. Savannah, world’s first atomic-powered merchant ship, arrives in Savannah, Georgia, first stop on its maiden voyage to promote peaceful uses of nuclear power. Some foreign ports refuse it, fearing catastrophe."
23-08-1974,"From the terrace of their New York City apartment, John Lennon and then-girlfriend May Pang claim to see a UFO hovering about 100 feet away. Lennon denies being under the influence at the time."
24-08-1975,"The band Queen enters a recording studio in Wales to begin the sessions that will produce “Bohemian Rhapsody.” Because the finished song runs nearly six minutes, record execs fear radio stations will never play it."
25-08-1921,"Franklin D. Roosevelt, age 39, is diagnosed with polio, also called infantile paralysis because it typically strikes much younger people. He will never regain the full use of his legs."
26-08-1936,Suffragist Susan B. Anthony appears on a US postage stamp that soon becomes controversial. Some critics call it an election-year ploy for women’s votes while others claim it shows a cigarette in her lips.
27-08-1964,"Disney’s Mary Poppins is released in the US, featuring its classic song “Spoonful of Sugar.” The tune was inspired when writer Richard Sherman’s son received an oral polio vaccine soaked into a sugar cube."
28-08-1957,"South Carolina Senator Strom Thurmond begins the longest filibuster speech in Senate history, orating for 24 hours and 18 minutes against the Civil Rights Act of 1957. In all, senators spent 57 days filibustering, unsuccessfully, against the law."
29-08-1863,"The Confederate submarine H.L. Hunley sinks off Charleston, S.C., killing most of its crew. Refloated, it sinks again in October 1863 and February 1864—but not before becoming the first sub to sink an enemy warship."
30-08-2023,West Point announces that an archaeologist has taken a second look at an 1828 time capsule opened in an earlier livestream and thought to be empty. Under sediment at the bottom he discovered valuable coins and a medal.
31-08-1798,"America's first bank robbery takes place at the Bank of Philadelphia, an inside job that netted the enormous sum of $162,821. In a bonehead move, the culprit began depositing the missing money in the very bank he had robbed."
01-09-1878,"Emma M. Nutt of Boston becomes the first woman telephone operator. Prior to that time, most telephone operators had been teenage boys, who customers weren't thrilled with because they were gruff, played jokes and swore."
02-09-2014,"Underwater archeologists locate the wreck of the HMS Erebus, one of two ships in the ill-fated Franklin Expedition, which vanished in the Arctic in the 1840s. The other ship, HMS Terror, is found in 2016, almost to the day."
03-09-1929,The Dow Jones Industrial Average peaks at 381.17 before beginning a decline that will lead to the famous stock market crash of 1929. It won't hit that level again until 1954.
04-09-1957,"Ford introduces its much-ballyhooed new model, the Edsel. Named in honor of Henry Ford’s son, it suffered from quality, reliability and design issues, and the name instead becomes synonymous with failure."
05-09-2024,"Double-leg amputee Oksana Masters wins her 9th Paralympic gold—19th overall across three sports: rowing, cycling and skiing. Born with disabilities linked to the Chernobyl nuclear disaster and abandoned as a baby, she was adopted by a U.S. family."
06-09-1916,"Piggly-Wiggly, the first self-serve grocery store, opens in Memphis, Tennessee, ending the age when the only way to buy groceries was to have a clerk assemble your order behind a counter."
07-09-1963,"The Pro Football Hall of Fame in Canton, Ohio, inducts its first 17 honorees. Among them is famed Native American multisport athlete and Olympian Jim Thorpe, a one-time Canton Bulldog."
08-09-2012,"A pair of the late Elvis Presley’s soiled undershorts, tastefully framed under glass, fails to sell at a British auction. They had been expected to go for over $10,000."
09-09-1942,"A Japanese seaplane drops incendiary bombs near Brookings, Oregon, the first-ever aerial bombing on the US mainland. The bombs, which were intended to start a forest fire, do little damage."
10-09-1920,"F. Scott Fitzgerald publishes his first short story collection, Flappers and Philosophers. In a copy he sends critic H.L. Mencken, Fitzgerald labels four stories “worth reading,” one “amusing” and remaining three “trash.”"
11-09-1841,"John Goffe Rand, an American portrait painter, receives a patent for the first collapsible tin paint tube. Up until then, artists had to mix their own oil paints and store whatever was left over in animal bladders."
12-09-1952,"Investigating the possible crash of a UFO, residents of Flatwoods, West Virginia, encounter a creature they describe as 10 feet tall, with glowing eyes and claw-like hands. Skeptics dismiss the “monster” as likely an owl."
13-09-1859,"David Broderick, a California Democrat, becomes the first and only sitting US senator to be shot dead in a duel. His killer is David Terry, chief justice of the California Supreme Court."
14-09-1985,"""The Golden Girls,"" a sitcom centering on four older women—group usually ignored on TV—premieres. An instant hit, it runs for seven seasons and 180 episodes. Producers originally considered naming the show ""Miami Nice."""
15-09-1931,"A small dirigible briefly docks at the mooring mast atop the new Empire State Building before winds drive it away. Despite high hopes for creating a convenient airship port in midtown Manhattan, it never happens again."
16-09-1920,"A bomb explodes at lunchtime in New York City’s Wall Street financial district, killing more than 30 people and injuring another 300. Authorities say they suspect Italian anarchists, but the perpetrators are never found."
17-09-1849,"Harriet Tubman and her two brothers escape from slavery in Maryland. The brothers give up and turn back, while Tubman makes her way to Philadelphia and becomes a guiding force in the Underground Railroad."
18-09-1983,"Ten years after signing their first record deal, with their album sales flagging, '70s rock band Kiss shocks audiences by appearing live on MTV for the first time without their iconic face paint."
19-09-1893,New Zealand becomes the first self-governing nation to grant women the right to vote in national elections. It would be 27 more years before American women are granted the same right.
20-09-1977,"Fonzie, on waterskis, jumps over a shark in the 1970s sitcom ""Happy Days""—forever immortalizing the phrase ""jump the shark"" to describe something that has passed its peak and is trying hard to maintain relevance."
21-09-1996,"John F. Kennedy, Jr., and Carolyn Bessette marry at the First African Baptist Church on Cumberland Island, Georgia. Because the wedding starts late and the old building lacks electricity, the priest officiates by flashlight."
22-09-1888,"National Geographic publishes its first issue, without photos. The magazine has so few subscribers that editor Gilbert H. Grosvenor personally addresses each copy and carries the whole pile of them to the post office."
23-09-2016,"A small carved box containing a portion of author Truman Capote’s cremated remains is auctioned in California, 32 years after his death, part of the estate of his loyal friend Joanne Carson. it receives 12 bids and sells for $43,750."
24-09-1906,"President Theodore Roosevelt proclaims Devils Tower, a massive rock formation in Wyoming, the country's first national monument. He calls the “lofty and isolated rock” a “natural wonder.”"
25-09-1493,"Christopher Columbus leaves Spain on his second voyage to the New World. Instead of just three ships, he now commands at least 17."
26-09-1983,"The US loses the America’s Cup to a foreign team for the first time since the yacht race’s founding in 1851. The winner is Australia II, which beats its rival by 41 seconds."
27-09-1822,"French scholar Jean-François Champollion announces he has solved one of history's greatest mysteries: deciphering the Rosetta Stone. By unlocking the language of Egyptian hieroglyphs, he revealed long-held secrets of that ancient civilization."
28-09-1850,"Congress votes to ban flogging on both naval and merchant vessels. Until then, misbehaving sailors were often punished by stripping them to the waist and lashing their bare backs with whips known as cat o’ nine tails."
29-09-1954,Outfielder Willie Mays of the then-New York Giants makes a seemingly impossible over-the-shoulder catch of a long fly ball to deep center in the 1954 World Series. It becomes forever known as “The Catch.”
30-09-1935,"President Franklin D. Roosevelt dedicates the Boulder Dam, now known as Hoover Dam, on Colorado-Nevada border. The highest dam in the world at that time, its construction claimed the lives of 96 workers."
01-10-1982,"Billy Joel's 1978 album ""52nd Street"" is re-released in Japan, on compact disc—the first album put out on the then-space age tech. CDs gave the boot to cassettes and LP records, until vinyl began to get its groove back around 2007."
02-10-1950,"Charles M. Schultz's “Peanuts” comic strip debuts in just seven US newspapers. (It would eventually run in more than 2,600.) The cartoonist almost named Charlie Brown's dog Sniffy—not Snoopy—but another comic dog had that name."
03-10-1950,"The comedy series ""Beulah"" debuts, the first nationally broadcast TV show to star an African American in a leading role: blues singer-turned-actress Ethel Waters. She later became the first Black actress nominated for an Emmy for the show ""Route 66."""
04-10-1582,"After being in use since 45 BCE, the Julian calendar gets the official heave-ho. To correct for its miscalculation of the solar year’s length—and align Easter with the spring equinox—Pope Gregory XIII decreed that 10 days in October would vanish."
05-10-1969,"""Monty Python's Flying Circus"" premieres on the BBC, bringing dead parrots, silly walks and other absurdist humor to the counterculture era."
06-10-1927,"""The Jazz Singer"" premieres, ushering out Hollywood's silent era. While hailed as the first feature-length ""talkie""—and earning blockbuster sums at the box office—the film had only about two minutes of synchronized dialogue; the rest used titles."
07-10-2015,"After a frustrating day of finding just shotgun shells and ring-pulls in Oxfordshire, England, metal-detectorist James Mather stumbles on an ingot, part of what is later called the “Watlington hoard” of 200 Vikings-era coins, jewelry and silver bars."
08-10-1871,"Of 37 separate fires that break out on the same day in the Great Lakes region, three are massive. The Great Chicago fire killed 300, the Great Michigan fire 300-500, and the Wisconsin Peshtigo fire—history's deadliest—killed least 1,200."
09-10-2004,Afghans make history by holding their first direct presidential election. More than 10 million went to the polls despite security concerns—and 41 percent of the voters were women.
10-10-1971,"London Bridge reopens after being dismantled and reconstructed—in Lake Havasu City, Arizona. Used in the UK for 600 years, the bridge still features lampposts made from melted-down cannons captured by the British from Napoleon's army in 1815."
11-10-1987,"The AIDS Memorial Quilt is unfolded at sunrise on the National Mall in Washington, D.C., as loved ones read the names of those lost to the AIDS epidemic. With 1,920 panels commemorating victims, it covered a space larger than a football field."
12-10-1990,"To honor the first inhabitants of the Americas, South Dakota becomes the first state to rename Columbus Day 'Native American Day.' Two years later, the city of Berkeley, California is the first to dub it 'Indigenous People's Day.'"
13-10-1773,"French astronomer Charles Messier discovers the first spiral galaxy, dubbing it the Whirlpool Galaxy. Only in the early 2000s did scientists confirm the spiral shape of our own home, the Milky Way—one of as many as 2 trillion galaxies in the universe."
14-10-2010,"Scientists publish findings that indicate a dinosaur from the Jurassic period had spinal arthritis, showing that back pain is nothing new. The creature lived 245 million years ago."
15-10-2024,"Researchers discover seven new species of tree frogs in Madagascar that make strange, high-pitched whistling calls like sound effects from the sci-fi series ""Star Trek."" The species are named Kirk, Picard, Sisko, Janeway, Archer, Burnham and Pike."
16-10-1846,"Modern anesthesia is born when dentist and physician William T.G. Morton demonstrates ether for the first time during a public surgery at Massachusetts General Hospital. His earlier efforts included stimulants, intoxication, opium and mesmerism."
17-10-1985,"After David Letterman invites magicians Penn & Teller to surprise him on their next appearance on his ""Late Night"" show, they unleash hundreds of cockroaches from a top hat onto his desk. Not pleased, Letterman later conceded it made ""great TV."""
18-10-1963,"Félicette, a Parisian stray, becomes the first—and only—cat in space. The black-and-white kitty traveled 98 miles into space for 13 minutes before her capsule safely parachuted to Earth."
19-10-2024,"The Kalamazoo Wings hockey team sets a world record for the most foam fingers waved simultaneously at a game—3,414 fans waved at once. Giant foam fingers have been a thing since 1971, when a high school teacher in Iowa made a papier-mâché prototype."
20-10-1967,"The mythical ape man ""Bigfoot"" is filmed in northern California, capturing the imagination of true believers worldwide. When a prominent Bigfoot researcher later sent the FBI a hair sample, they concluded it was of ""deer family origin."""
21-10-1867,"Medicine Lodge Treaty is signed. The talks, attended by more than 5,000 prominent chiefs and warriors, was one of the largest gatherings of Native American leaders for treaty negotiations in US history."
22-10-1895,"In one of the most spectacular railway accidents ever, a train with a faulty brake hurtles through Paris’ Gare Montparnasse and out the front, landing nose down in the street. Curious onlookers buy train tickets just to go in and ogle the damage."
23-10-1941,"Disney releases ""Dumbo,"" a film about a circus elephant with huge ears who was ridiculed until a mouse shows him he can use his ears to fly. Dumbo was set to be crowned TIME Magazine's ""Mammal of the Year"" in late 1941, but got bumped off the cover by Pearl Harbor."
24-10-1901,Annie Edson Taylor is the first person to go over Niagara Falls in a barrel—and survive. The 63-year-old schoolteacher was accompanied by her cat.
25-10-1978,"""Halloween"" premieres, sending chills across small towns nationwide. Produced for $300,000, the slasher movie grossed more than $47 million in North America. Jamie Lee Curtis, 19 at the time, was paid only $8,000 for her film debut."
26-10-1918,"Baronet Cecil Chubb, the last private owner of Stonehenge, gifts it to the British people. Three years earlier, on a whim, he paid £6,600 for the ramshackle megalith at auction. His wife, who had sent him to buy dining chairs, was not pleased."
27-10-1975,"Rocker Bruce Springsteen lands on the covers of both TIME and Newsweek in the same week, marking his transition from struggling bar band legend to The Boss."
28-10-1787,"The night before his opera ""Don Giovanni"" is set to premiere in Prague, Wolfgang Amadeus Mozart pulls an all-nighter to complete the overture. With no time to rehearse, the orchestra sight-read it in the concert hall, to rapturous response."
29-10-2024,"A study published in the journal Antiquities reveals the discovery of a huge 1,500-year-old Mayan city hidden in the jungles of Mexico's Yucatán peninsula. It contains more than 6,000 structures, including pyramids like the ones at Chichén Itzá."
30-10-1896,"The Boston Symphony Orchestra debuts ""Gaelic Symphony"" by Amy Beach, the first symphony by an American woman composer to gain public attention. She said it was inspired by the ""simple, rugged, and unpretentious beauty"" of Irish melodies."
31-10-1955,Princess Margaret publicly announces her decision to end her engagement to the (unsuitably) divorced Peter Townsend. Royal watchers had gotten wise to the affair when she flicked away lint from his jacket in public.
01-11-1848,"Boston Female Medical College opens, becoming the first institution in the US teaching medical subjects to women. The first class had 12 students and 2 teachers."
02-11-1898,"University of Minnesota student Johnny Campbell jumps a fence and runs onto the football field to fire up fans with a cheer, sparking organized cheerleading in the US Women stepped in when mostly male ""yell leaders"" went off to World War II."
03-11-1900,"The first-ever US Auto Show opens at New York’s Madison Square Garden, where carmakers showcase 160 vehicles. With early internal combustion engines noisy, noxious and teeth-rattling, consumers of the time favored steam- and battery-powered vehicles."
04-11-1879,"James Ritty of Dayton, Ohio receives a patent for a mechanical cash register he calls an ""incorruptible cashier."" He and his engineer brother John invented it to keep bartenders at James' saloon from pilfering profits."
05-11-1733,"Printer and journalist John Peter Zenger publishes the first issue of New York Weekly Journal. After attacks on the colonial governor landed him in jail for libel, a jury acquitted him—a first win for press freedom in the English colonies."
06-11-1492,"Christopher Columbus notes in his journal that Arawak Indians had introduced his crew to smoking tobacco. Back in Spain, one crew member was jailed after alarmed people called a man blowing smoke out of his mouth and nose the work of Satan."
07-11-1962,"Richard Nixon concedes his loss in the California governor's race, telling assembled press: ""You won't have Nixon to kick around anymore because, gentlemen, this is my last press conference."" He would win the presidency six years later."
08-11-1910,"Tom Dempsey, a professional football kicker lacking any toes on his right foot, boots a 63-yard field goal in his custom shoe, setting an NFL record. He bested the previous record by seven yards."
09-11-1985,"Soviet-born Garry Kasparov, 22, beats Anatoly Karpov to become the youngest world chess champion. Eleven years later, he defeated Deep Blue, IBM's powerful custom-built chess computer, then lost to an upgraded Deep Blue the following year."
10-11-1885,"The teenage son of German inventor Gottlieb Daimler makes the first long-distance test run of the world's first motorcycle. The ""Reitwagen"" had a wooden frame and wheels, no suspension system and a leather drive belt."
11-11-1984,"The ""Three Servicemen"" statue is unveiled near the Vietnam War Memorial. Honoring the diversity of soldiers who served in that war, it marks the first time an African American is depicted in a sculpture on the National Mall."
12-11-1955,"Movie teen Marty McFly harnesses the power of a 10:04 p.m. lightning strike on the fictional Hill Valley clock tower to travel back to 1985 in the blockbuster film ""Back to the Future."""
13-11-1927,"The Holland Tunnel connecting Manhattan to Jersey City opens at midnight to thousands of cars waiting to drive through the world’s longest underwater vehicular tunnel. Earlier that day, some 20,000 pedestrians walked the entire 9,250-foot length."
14-11-1889,"Famed journalist Nellie Bly begins her bid to circle the globe faster than the fictional Phileas Fogg in Jules Verne's ""Around the World in 80 Days."" Bly, who rode on ships, trains, horses, rickshaws and burros, returned in 72 days and 6 hours."
15-11-2004,"A grilled cheese sandwich with toast marks bearing an image of the Virgin Mary sells on eBay for $28,000. The Florida-based seller claimed the 10-year-old sandwich had miraculously never sprouted any mold."
16-11-2012,"Hostess Brands announces its shutdown, sparking a national wave of snack cake hoarding. Within a week, retailer Amazon sees a 31,000% jump in Twinkie sales."
17-11-1991,"The first condom ad on network TV airs on Fox during the teen sitcom ""Herman's Head."" Growing concern about AIDS and sexually transmitted diseases led to the airing of the 15-second spot."
18-11-1949,"Three years after breaking major league baseball's color barrier, Brooklyn Dodger Jackie Robinson becomes the league's first Black MVP. That season, he batted .342 and stole 37 bases, personal records that lasted his entire career."
19-11-1980,"CBS bans as ""too suggestive"" a Calvin Klein ad where 15-year-old model and actress Brooke Shields says ""nothing"" comes between her and her super tight CK jeans. She auctioned the jeans for charity 44 years later."
20-11-1983,"With Cold War tensions peaking, more than 100 million people watch ""The Day After"" on ABC, a controversial made-for-TV film about a nuclear bomb being dropped on Kansas. President Reagan wrote that it left him ""greatly depressed."""
21-11-1959,"WABC radio fires influential deejay Alan Freed for refusing to swear that he never received “payola” for playing music on air. Freed, credited with popularizing rock ‘n’ roll and mainstreaming R&B, pled guilty to commercial bribery three years later."
